area_ping,floor,has_elevator,building_age,condition,difficulty_multiplier,cost_demolition,cost_plumbing,cost_electrical,cost_carpentry,cost_flooring,cost_painting,cost_bathroom,cost_kitchen,trade_subtotal,supervision_fee,grand_total,monthly_rent,net_yield,payback_months
30.9,3,False,4,severe,1.15,23578,46179,61843,110018,139853,113459,91051,80107,666088,66609,732697,30900,0.4327,27.7
24.9,13,True,15,normal,1.0,16631,37363,72186,104302,87043,82429,64552,54466,518972,51897,570869,24400,0.4385,27.4
18.3,4,False,26,poor,1.15,12592,29991,49804,54148,60509,55285,56024,43105,361458,36146,397604,22100,0.5703,21.0
30.9,13,True,49,aging,1.15,23458,47240,89392,138627,113348,111127,73165,62429,658787,65879,724666,25500,0.361,33.2
34.1,4,False,29,poor,1.15,30965,56718,90909,164128,158928,110596,94649,97701,804594,80459,885053,31800,0.3686,32.6
31.5,14,True,44,aging,1.15,20813,42061,94387,116811,125125,94490,72742,86138,652568,65257,717825,28800,0.4116,29.2
24.0,1,False,6,aging,1.05,15585,31006,57854,81243,76563,79317,52581,70662,464812,46481,511293,18300,0.3672,32.7
24.5,9,True,41,normal,1.1,17122,34141,62362,84503,126539,80220,62871,59937,527695,52769,580464,23500,0.4154,28.9
26.4,5,False,25,normal,1.1,20230,37788,66662,97444,88559,78006,62682,74896,526267,52627,578894,24900,0.4413,27.2
15.4,6,True,53,aging,1.15,13042,24183,40950,72179,63687,49875,43727,44006,351649,35165,386814,12100,0.3209,37.4
21.3,10,False,3,normal,1.35,18832,39864,64556,80332,109786,70534,60769,58148,502819,50282,553101,23800,0.4415,27.2
35.0,3,True,6,normal,1.0,19675,46753,78430,85959,121173,95821,81188,50693,579692,57969,637661,33900,0.5455,22.0
44.7,1,False,34,poor,1.2,35120,81922,112219,182333,172013,172609,118428,114293,988936,98894,1087830,48500,0.4574,26.2
39.5,2,False,48,normal,1.1,31951,46620,79828,142687,137287,113812,86545,83870,722599,72260,794859,36100,0.466,25.8
22.4,10,True,11,normal,1.0,15423,26088,60467,78582,106743,63109,47154,51522,449089,44909,493998,17600,0.3655,32.8
17.4,1,False,40,aging,1.15,13621,27356,50447,62215,98271,62948,49579,47366,411803,41180,452983,18100,0.41,29.3
27.8,2,True,3,normal,1.0,22041,37269,64192,83420,84003,61023,52840,54046,458834,45883,504717,28900,0.5875,20.4
30.0,2,False,53,normal,1.1,19270,43424,66046,100464,122749,115852,76051,72985,616841,61684,678525,27800,0.4204,28.5
34.0,9,True,28,severe,1.15,21874,43721,90215,148996,149706,118038,88946,83502,744999,74500,819499,29100,0.3643,32.9
45.6,13,True,18,normal,1.0,26661,52183,81667,154022,174070,137502,105953,94628,826686,82669,909354,53200,0.6002,20.0
22.9,3,False,48,aging,1.15,16426,36506,60694,99070,102048,74826,52811,67870,510250,51025,561275,18400,0.3363,35.7
27.3,6,True,11,normal,1.0,17771,23901,57945,77849,91444,72981,65904,56468,464264,46426,510690,22400,0.45,26.7
23.4,8,False,19,aging,1.3,18563,30325,64034,83591,96470,90842,83033,74955,541815,54182,595997,21000,0.3615,33.2
46.9,14,True,42,normal,1.1,42601,62412,108174,204796,153459,150222,117113,108604,947380,94738,1042118,44900,0.4421,27.1
47.2,8,True,35,poor,1.2,43082,84939,121902,227770,200587,168854,123547,121617,1092298,109230,1201528,46600,0.3979,30.2
31.0,15,False,14,normal,1.5,31384,48004,108513,143242,164788,137400,89687,98819,821836,82184,904020,28200,0.3201,37.5
40.7,5,False,21,normal,1.1,35473,70091,100697,190640,203932,128265,115804,114121,959023,95902,1054926,35800,0.3482,34.5
26.5,11,True,5,normal,1.0,17161,32601,58510,110314,94922,88114,55644,65998,523264,52326,575591,23800,0.4242,28.3
18.4,11,True,53,poor,1.2,17130,28914,50075,62773,85461,60905,47767,41567,394592,39459,434051,23900,0.5649,21.2
15.0,13,False,42,normal,1.5,13890,24661,53527,80469,79972,76778,64927,55044,449268,44927,494195,19500,0.4048,29.6
41.2,7,True,35,normal,1.1,26144,63105,101171,159629,152055,145342,130815,100875,879135,87913,967048,41800,0.4435,27.1
24.3,5,False,32,aging,1.25,22372,35406,70161,87519,103005,92280,67878,65516,544140,54414,598554,25800,0.4422,27.1
31.4,1,False,27,normal,1.0,21532,37182,73222,89058,125392,106751,59819,59171,572126,57213,629339,27500,0.4483,26.8
39.2,2,False,6,severe,1.15,36247,45662,102672,181504,149201,104451,103187,103641,826566,82657,909223,34000,0.3837,31.3
29.2,11,True,20,poor,1.1,21850,27736,68443,99357,79133,96096,70252,65127,527996,52800,580795,28200,0.4982,24.1
40.6,11,False,10,aging,1.45,31181,77214,146091,149907,218417,179263,114573,121624,1038270,103827,1142097,35700,0.3207,37.4
47.1,5,False,31,normal,1.2,34436,77677,137037,200380,199150,152226,104437,105464,1010807,101081,1111888,48100,0.4438,27.0
42.3,8,True,50,aging,1.15,29989,47044,103541,153918,185517,144493,87173,102293,853967,85397,939364,33100,0.3615,33.2
23.2,11,True,44,aging,1.15,19987,29318,75190,101254,106631,77775,66019,61194,537368,53737,591105,19500,0.3385,35.5
37.8,6,False,6,aging,1.2,31135,54387,102077,194965,168079,166349,101144,118970,937106,93711,1030817,32200,0.3205,37.4
48.4,11,True,49,poor,1.2,40890,61370,127708,174709,195968,187863,104995,113368,1006871,100687,1107558,51600,0.478,25.1
16.8,6,True,31,severe,1.25,14199,34190,52495,78458,89693,79523,43885,42659,435102,43510,478612,15800,0.3387,35.4
14.6,11,True,37,poor,1.2,9272,23087,34310,51672,65557,47691,37048,30592,299229,29923,329152,10900,0.3398,35.3
28.7,10,False,12,normal,1.35,24656,49501,90920,124942,134757,150456,89287,74101,738620,73862,812482,30800,0.3889,30.9
23.5,7,True,5,poor,1.1,14822,27641,58930,74818,96414,64330,50564,52320,439839,43984,483823,18900,0.4008,29.9
42.0,11,False,15,normal,1.4,37332,79736,141480,164880,194734,197563,124655,130689,1071069,107107,1178176,46800,0.4076,29.4
33.2,1,False,40,normal,1.1,22281,44654,103036,110139,125448,127586,86913,79850,699906,69991,769897,33900,0.4518,26.6
33.9,8,False,18,normal,1.25,31386,65816,113691,164265,154688,118094,85452,110842,844233,84423,928657,38200,0.422,28.4
37.7,11,True,27,normal,1.0,27381,47140,80470,118926,151577,107543,74023,75038,682097,68210,750307,35100,0.48,25.0
33.8,7,True,11,severe,1.15,34702,47259,96274,160186,170853,93688,109327,97083,809372,80937,890309,37200,0.4287,28.0
18.4,2,False,21,normal,1.0,15298,26222,41792,67540,66948,79954,48296,31707,377758,37776,415534,14200,0.3506,34.2
32.1,1,False,21,severe,1.15,23669,42336,79067,108151,116600,104699,79768,76894,631184,63118,694302,34900,0.5157,23.3
18.9,15,True,12,poor,1.1,11847,20501,53005,76034,75841,68746,48498,47684,402157,40216,442372,18700,0.4337,27.7
16.7,13,False,11,aging,1.5,16767,31438,50051,79782,87211,56865,53445,54329,429888,42989,472877,20600,0.447,26.8
34.7,12,True,34,poor,1.2,25309,55125,90819,128311,137501,89861,99215,100244,726385,72639,799024,29500,0.3788,31.7
30.4,5,False,40,poor,1.3,25540,43170,79365,120379,93393,88566,78658,84411,613482,61348,674830,29500,0.4485,26.8
35.8,13,True,6,poor,1.1,20946,38498,82971,136905,92372,118617,76169,85415,651893,65189,717082,33600,0.4807,25.0
39.6,12,True,13,aging,1.05,28158,57606,108285,145416,134707,140588,109609,104674,829043,82904,911947,39000,0.4388,27.3
32.9,11,True,31,normal,1.1,21446,49728,80383,132443,119806,96688,68358,66564,635416,63542,698958,32500,0.4771,25.2
44.7,4,False,32,normal,1.15,34738,57356,104705,154257,149114,100521,112267,84971,797928,79793,877721,44900,0.5249,22.9
47.3,4,False,20,poor,1.15,29691,71637,102526,139207,135505,144906,101239,96181,820892,82089,902981,40500,0.4602,26.1
32.2,7,True,49,aging,1.15,27058,46288,80433,121235,107438,100380,79424,92161,654416,65442,719858,29600,0.4219,28.4
42.4,1,False,50,aging,1.15,38486,62729,104527,177209,145557,130215,98289,97608,854619,85462,940081,38300,0.418,28.7
44.7,7,False,22,aging,1.25,35853,56519,120183,242255,209153,172322,152281,117455,1106022,110602,1216624,45000,0.3795,31.6
27.5,12,True,20,aging,1.05,16876,26073,52334,81254,93819,80481,62241,59439,472515,47252,519767,24200,0.4777,25.1
14.9,13,False,10,poor,1.5,17135,37339,58754,61909,89261,66058,52831,46274,429560,42956,472516,12900,0.2801,42.8
39.7,8,True,21,normal,1.0,25756,63388,111058,138701,188573,127476,95446,93541,843939,84394,928333,37900,0.4189,28.6
32.4,10,True,26,aging,1.05,26052,56641,90902,115403,117285,109237,80832,85463,681813,68181,749994,30300,0.4145,29.0
21.0,13,False,19,normal,1.5,23834,45553,83615,132877,107747,81441,76180,71051,622299,62230,684528,17000,0.2548,47.1
48.5,10,True,31,aging,1.15,36572,70641,109194,200392,182772,138925,121124,105785,965407,96541,1061947,46500,0.4493,26.7
39.2,12,False,40,aging,1.5,40998,75055,143907,188586,200882,184933,163893,104580,1102834,110283,1213117,35700,0.3019,39.7
39.9,10,True,42,normal,1.1,22525,49819,95394,133651,201982,138638,96052,105153,843214,84321,927535,32400,0.3584,33.5
45.0,11,True,21,aging,1.05,34001,75516,117078,153855,248592,134073,101308,114561,978984,97898,1076883,40900,0.3897,30.8
19.5,8,False,45,normal,1.35,17584,29759,60762,95199,90236,77613,58957,61005,491115,49112,540227,19900,0.3779,31.8
21.1,1,True,5,severe,1.15,12768,17208,45883,70994,48510,53308,37266,41367,327302,32730,360033,21800,0.6212,19.3
33.4,10,True,29,poor,1.1,23136,39486,87038,116529,123258,136185,80270,76204,682106,68211,750316,33300,0.4554,26.4
47.8,14,True,14,poor,1.1,35561,88866,156129,186971,251371,189061,158398,99631,1165988,116599,1282586,47600,0.3808,31.5
15.2,2,False,53,aging,1.15,9264,22969,40861,64925,61548,41129,37321,42165,320182,32018,352200,14500,0.4224,28.4
23.8,9,True,15,aging,1.05,14622,31485,54137,86247,82535,57002,57169,49529,432726,43273,475999,19800,0.4268,28.1
20.4,11,True,42,normal,1.1,17255,33689,56094,84552,96817,54200,55543,42041,440191,44019,484211,23500,0.4979,24.1
49.2,8,True,49,poor,1.2,56120,90631,167577,204774,245850,182342,143105,132865,1223263,122326,1345590,58400,0.4453,26.9
30.5,12,True,14,normal,1.0,22491,35161,65791,97218,124230,70333,65394,69654,550271,55027,605298,36000,0.6102,19.7
15.2,8,True,22,severe,1.15,12523,20909,37020,59472,51709,44916,40581,35141,302270,30227,332497,12200,0.3765,31.9
28.1,4,False,8,normal,1.05,18160,38798,65904,99070,126642,84062,67657,69476,569769,56977,626746,24200,0.3962,30.3
29.5,15,True,54,aging,1.15,21662,45759,92873,93146,124516,98878,63469,85089,625393,62539,687932,24100,0.3594,33.4
42.1,3,True,11,severe,1.15,30762,60063,116936,155364,122669,184915,114991,98330,884029,88403,972432,42800,0.4516,26.6
48.8,5,False,20,poor,1.2,48764,68328,157434,225883,258893,200699,140929,133190,1234121,123412,1357533,42600,0.322,37.3
40.4,14,True,22,normal,1.0,26966,58385,82632,126776,135488,130909,96828,84342,742326,74233,816559,43300,0.5441,22.1
40.6,10,False,12,normal,1.35,36985,79823,114805,193911,212643,165996,116436,106822,1027420,102742,1130162,36300,0.3295,36.4
16.3,4,False,23,normal,1.05,13002,22226,41060,54493,56036,44874,41301,39097,312090,31209,343299,12400,0.3706,32.4
35.1,12,True,54,normal,1.1,33050,43978,95107,133346,129638,90077,75522,94198,694915,69492,764407,33900,0.455,26.4
29.8,10,True,41,normal,1.1,24494,49506,73089,122650,101471,94490,82284,63956,611941,61194,673135,29300,0.4466,26.9
20.7,2,False,26,normal,1.0,13123,21407,41209,55320,75572,51329,42135,46753,346848,34685,381532,21400,0.5755,20.9
16.0,10,True,48,normal,1.1,13707,26483,43567,59142,78610,48985,44278,29116,343888,34389,378277,14000,0.3797,31.6
46.8,3,False,19,severe,1.15,34111,64466,125620,279061,219713,157104,99238,118881,1098194,109819,1208013,49200,0.4179,28.7
14.2,3,False,49,aging,1.15,10591,24935,31513,59737,62205,44461,35684,33362,302487,30249,332736,16000,0.4934,24.3
15.7,10,True,53,aging,1.15,12038,19814,37941,56011,64763,54645,41419,36058,322688,32269,354956,15800,0.4567,26.3
32.8,4,False,21,normal,1.05,26466,45089,89967,103244,102994,100683,69993,61809,600245,60024,660269,32900,0.5112,23.5
47.6,5,True,28,aging,1.05,30955,65560,106689,150794,153716,173582,97898,120144,899337,89934,989271,47100,0.4885,24.6
25.5,5,True,29,aging,1.05,18135,30712,76096,77186,81067,68084,71602,59004,481886,48189,530074,29800,0.5768,20.8
49.5,10,True,22,aging,1.05,37515,65467,111535,175316,164221,153313,113274,107621,928262,92826,1021089,55700,0.5597,21.4
36.0,7,True,40,normal,1.1,18252,48390,90487,121631,137677,114639,78791,74501,684368,68437,752805,43400,0.5915,20.3
26.9,14,True,47,poor,1.2,20090,35763,74660,101771,68332,110692,83732,64114,559153,55915,615068,25800,0.4304,27.9
15.2,7,False,15,severe,1.35,13605,25487,43220,62934,73551,64133,43159,44062,370151,37015,407166,14600,0.3679,32.6
40.3,4,True,17,normal,1.0,25391,53029,101183,131599,167401,116093,101857,134331,830885,83089,913974,47300,0.531,22.6
23.6,15,True,26,normal,1.0,13830,35784,60448,82545,68103,59638,50110,44042,414500,41450,455950,23500,0.5288,22.7
39.9,3,False,36,normal,1.1,24416,48243,92033,157943,144164,130649,109499,88886,795832,79583,875415,38700,0.4536,26.5
38.3,14,True,40,normal,1.1,28670,53332,108932,125763,124027,113529,90846,63245,708342,70834,779176,39400,0.5188,23.1
13.9,12,False,48,aging,1.5,13694,21755,49941,74618,70342,65714,43023,42142,381228,38123,419351,11700,0.2863,41.9
45.4,14,True,27,aging,1.05,29030,59563,115653,161796,182853,157511,95935,99082,901423,90142,991565,47300,0.4894,24.5
32.4,1,False,20,normal,1.0,25099,42690,74154,95309,97926,90720,78355,71477,575731,57573,633304,28800,0.4666,25.7
13.3,8,True,14,normal,1.0,6886,14895,26964,44456,42872,41318,23550,27538,228478,22848,251326,10600,0.4327,27.7
17.1,14,True,3,normal,1.0,12051,22983,41021,43621,74349,43036,35721,39423,312206,31221,343426,15300,0.4571,26.3
28.1,6,True,50,severe,1.25,20921,39551,72445,96968,96445,130294,83166,79278,619068,61907,680974,29500,0.4445,27.0
18.3,5,True,12,poor,1.1,12274,26032,39962,59163,65069,58484,42009,32364,335358,33536,368893,16900,0.47,25.5
13.4,10,False,35,severe,1.5,12450,21021,41897,65017,96294,42873,37636,39393,356580,35658,392238,13700,0.3584,33.5
41.2,1,False,41,aging,1.15,38646,55373,106726,145852,204906,118102,103715,99369,872690,87269,959959,40200,0.4297,27.9
20.1,4,False,42,poor,1.25,18325,25622,60147,89809,70758,71199,51861,47497,435218,43522,478739,16600,0.3558,33.7
16.2,4,True,33,aging,1.15,13316,19253,48970,69993,89917,53213,46958,44389,386009,38601,424610,16600,0.4011,29.9
29.4,9,False,45,poor,1.5,31428,50942,105748,150008,169678,167934,109111,99199,884047,88405,972452,25900,0.2733,43.9
26.4,13,True,53,poor,1.2,19266,42231,70598,108005,140588,91843,59710,72763,605004,60500,665505,26000,0.4008,29.9
17.6,7,True,44,severe,1.25,13391,19424,46212,67460,63088,61209,46948,40444,358176,35818,393993,17100,0.4453,26.9
21.9,13,True,7,normal,1.0,14535,26349,55920,61230,80731,59569,51188,41231,390754,39075,429829,16300,0.3891,30.8
49.3,11,True,49,severe,1.25,32919,82298,126676,160015,154177,132031,117499,131454,937067,93707,1030774,47100,0.4688,25.6
17.4,5,False,16,poor,1.2,14813,23475,48342,67020,58027,49488,40905,45840,347909,34791,382700,17800,0.4772,25.1
38.7,7,False,31,poor,1.4,33719,63149,101965,211534,169686,130235,114632,97204,922123,92212,1014336,41600,0.4208,28.5
32.9,8,True,38,poor,1.2,23415,43129,87353,122311,137699,128148,79407,79709,701171,70117,771288,27100,0.3605,33.3
14.5,2,False,16,normal,1.0,10323,16673,33599,51656,55604,37622,32149,33973,271598,27160,298758,15700,0.5392,22.3
21.8,1,False,24,normal,1.0,13008,30669,48416,59714,70429,67099,55146,45001,389483,38948,428432,21100,0.5053,23.7
33.7,12,True,31,normal,1.1,23400,54128,99418,126176,120296,98649,94131,86254,702452,70245,772697,30100,0.3997,30.0
24.5,2,False,50,normal,1.1,20113,27135,68673,78445,115072,83403,67930,61714,522485,52248,574733,21800,0.3892,30.8
19.4,10,True,41,aging,1.15,17676,32935,56472,91276,84313,63267,46807,46902,439649,43965,483614,19300,0.4095,29.3
13.2,3,True,19,aging,1.05,9119,18857,31895,40962,51144,53373,31638,31901,268888,26889,295777,14400,0.4995,24.0
42.3,2,True,38,poor,1.2,36188,82335,96991,158508,182887,130145,115746,134591,937391,93739,1031130,38000,0.3781,31.7
49.3,14,True,44,normal,1.1,35443,53711,107860,145097,138450,152434,111479,99497,843972,84397,928369,49000,0.5415,22.2
23.7,1,False,19,poor,1.1,16338,31347,66269,81286,94805,66851,61787,58583,477265,47726,524991,21500,0.4202,28.6
47.8,12,False,6,poor,1.5,50774,90407,168783,246684,223810,190437,192897,155860,1319652,131965,1451617,43800,0.3096,38.8
36.4,7,True,4,severe,1.15,39254,48779,100969,125438,114477,83088,93460,78690,684154,68415,752570,33300,0.454,26.4
48.1,4,True,30,normal,1.0,30192,66574,134609,182459,163294,140164,121020,111234,949548,94955,1044503,50100,0.4921,24.4
18.8,14,False,40,aging,1.5,21130,38022,77360,94412,121070,86204,72847,77291,588336,58834,647170,18300,0.2901,41.4
22.6,14,False,54,normal,1.5,19625,45069,85141,113362,101578,112558,79339,77217,633889,63389,697278,26500,0.3899,30.8
30.2,3,True,24,normal,1.0,16560,29178,57641,94012,89461,86782,69570,71907,515111,51511,566622,30800,0.5577,21.5
44.6,1,False,43,poor,1.2,38451,66070,124209,190335,142958,122246,85764,128614,898646,89865,988511,36600,0.3799,31.6
45.6,4,False,47,poor,1.25,30908,70733,145402,200861,170117,154672,118575,143313,1034581,103458,1138039,45600,0.4111,29.2
33.6,13,True,23,aging,1.05,24003,50299,100105,122422,145024,91725,90086,77023,700686,70069,770755,30700,0.4087,29.4
38.2,10,True,11,poor,1.1,23208,50616,120930,136082,151560,147880,92538,92248,815063,81506,896569,30800,0.3525,34.0
40.4,5,False,3,aging,1.15,32933,73074,111362,144138,150439,139052,91983,81119,824100,82410,906510,37100,0.4199,28.6
18.4,15,True,29,severe,1.15,15627,30060,43133,51804,74154,50096,42867,50913,358654,35865,394520,21200,0.5513,21.8
38.4,10,True,4,aging,1.05,29682,49242,113360,106441,144067,100843,90571,68512,702718,70272,772990,35300,0.4685,25.6
34.1,1,False,50,poor,1.2,29236,59919,105134,161742,205071,124511,87177,83332,856122,85612,941734,31600,0.3443,34.9
34.8,13,True,27,aging,1.05,25685,60621,98129,156377,101871,94476,87041,93861,718061,71806,789867,35200,0.4572,26.2
24.0,15,True,10,severe,1.15,19001,29851,52231,66340,110529,66816,51206,66244,462217,46222,508439,21900,0.4419,27.2
27.2,12,False,54,severe,1.5,26658,43589,86773,99500,160130,100017,104423,64966,686057,68606,754663,22800,0.31,38.7
43.4,14,False,54,poor,1.5,42321,106526,162225,281349,201820,211383,168363,117516,1291502,129150,1420652,42300,0.3055,39.3
45.2,4,False,6,severe,1.2,44241,84119,120362,160493,171006,202468,118478,92514,993682,99368,1093051,46600,0.4374,27.4
21.7,14,True,32,severe,1.25,16969,35808,60418,80970,88828,76467,55059,49909,464428,46443,510871,23100,0.4639,25.9
49.4,1,False,36,normal,1.1,33739,63040,133684,209648,184610,159337,130428,114756,1029241,102924,1132165,52800,0.4785,25.1
37.4,3,False,37,aging,1.15,24035,44598,120669,135109,99789,155946,94891,90607,765643,76564,842208,30200,0.3679,32.6
39.0,6,True,17,aging,1.05,27978,60304,102739,197983,155645,113737,103920,75652,837958,83796,921754,36800,0.4096,29.3
31.4,3,False,52,normal,1.1,20049,36673,96431,99006,114663,96953,78660,69795,612231,61223,673454,26600,0.4052,29.6
32.6,1,False,36,aging,1.15,18089,56996,81950,114186,116393,109968,85935,82443,665961,66596,732557,29200,0.409,29.3
39.3,12,True,5,normal,1.0,25529,54921,94331,129983,154414,127592,83913,87657,758339,75834,834173,34700,0.4268,28.1
34.6,14,True,40,poor,1.2,20863,38916,81802,120905,139604,97336,72539,83452,655417,65542,720958,26700,0.38,31.6
40.1,5,False,53,severe,1.35,29993,75940,131677,180235,219638,123097,120284,111794,992659,99266,1091925,37900,0.3561,33.7
